Review,Rating,Sentiment;Label;;
enak kuacinya,5,;P;;
pengiriman cepat packing bagus sesuai pesanan belum di coba terima kasih,5, ;P;;
pengemasan luar biasa baik untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga yang agak kerasa itu varian rasa rumput laut untuk yang lain nya menurut saya kurang mendominasi rasanya lebih ke original sih,4, ;N;;
terimakasih min,5, ;P;;
udah order untuk kesekian kali jos,5, ;P;;
enaak dan guriih kacangnya,5, ;P;;
respon cepat harga terjangkau,5, ;P;;
mantappppp recommended empingnya enakkkkk,5, ;P;;
mantapppp puas kali gurih bnget entr mau pesan lg kesukaan,5, ;P;;
kondisi baik kurir baik mdh2an enak terimakasih,5, ;P;;
rekomended,5, ;P;;
enak gurih dan renyah,5, ;P;;
pengiriman cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5, ;P;;
cepat n fresh,4, ;P;;
excellent,5, ;P;;
tumben rada asin sedikit dr biasanya hehe,4, ;N;;
lagi kepengen banget makan keripik yg pedes aaaa pengiriman juga cepet rasanya enak pol buat dijadiin snack makasihh,5, ;P;;
pesen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5, ;P;;
keripik nya sudah sampe semua komplit enak dan langganan sejati succes keripik riki,5, ;P;;
pedes mantap,5, ;P;;
sudah terjamin pedasnya dan gurihnya,5, ;P;;
pedesnya pas cuma gak berasa singkong nya saran aja kalau pembelian 5 bungkus ada bonus biar makin lariss,5, ;N;;
mantul selalu beli yang ini meski panas perut ge,5, ;P;;
enak pedes bgt asin dan gurihnya pas pengirimannya juga aman,5, ;P;;
baso acinya serius enak banget teksturnya baso kaca khad garut banget isian ayamnya juga enak,5, ;P;;
terima kasih barangnya sudah sampai,3, ;P;;
enak bgt benerannagih kuah nya pedes pokoknya manteppppp,5, ;P;;
cepat sampainya,5, ;P;;
mantapp kualitass rasa lumayan pengiriman cepatt terimakasii toko nyaaaa,4, ;P;;
barangnya sudah sampai barangnya sampai dalam keadaan baik,4, ;P;;
pilus cikur alot dan liat pengiriman lama,3, ;N;;
paketnya sudah sampe makasi udah dikasi 1pcs bonus baso aci nya,5, ;P;;
baso acinya enak cuma isi ayamnya gak kerasa kecil banget sih tapi untuk porsinya banyak banget,4, ;N;;
pengiriman sangat cepat baru pesan kemarin 22 04 hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5, ;P;;
pengiriman sangat cepat barang premium d,5, ;P;;
alhamdulillah barang sudah sampai mantaps kali rasanya pedas,5, ;P;;
klo belum habis ga bs berhenti makan ginian cuma ada yg terbuka kemasannya untung masi renyah,5, ;P;;
mantap bgt pedesnya gak pelit bumbunya puas bgt belanja disini,5, ;P;;
kangen rasa terbayarkan,5, ;P;;
kenceng,5, ;N;;
saya beli dari pagi pagi sekali dikirim nya malam hari luar biasa patut dapat bintang 1,1, ;N;;
kacang telurnya garing dan enak respon seller cepat kl bisa packing dibungkus bubble wrap biar makin aman,5, ;P;;
kacang telur medan datang sesuai order rasa kacang enak fresh crispy seller responsif packing aman pake bubble wrap pengiriman cepat recommended seller,5, ;P;;
enaaaakk renyah,5, ;P;;
terimakasih barang sudah sampai dan sesuai dengan ekspektasi,5, ;P;;
ok terima kasih ya,5, ;P;;
barang sampai dg baik,5, ;P;;
kacangnya enak mantap,5, ;P;;
produk packing pengiriman sip semua ueennaakkk kacangnya,5, ;P;;
gercep bgt sellernya thank you yah,5, ;P;;
mantap renyah next order lagi,5, ;P;;
pesanan cepat diproses packing rapi produk bagus sesuai deskripsi,5, ;P;;
mantap packingan rapi barang sesua deskripsi dan enak cepat sampai lagi seler responsif pokoknya rekomended seller,5, ;P;;
rencana buat lebaran ternyata nggak nyampe lebaran udh habis ter makan,5, ;P;;
belum sy cb smg enak tdk tengik sukses sellu,5, ;P;;
packaging perlu diperbaiki,4, ;N;;
biasa aja rasanya tapi penjualnya baik ramah semoga berkah ya,4, ;P;;
terimakasih seller udah gag sabar buat nyobain,5, ;P;;
proses cepat order jam 16 30 langsung dikirim dan sampai dalam waktu 1 jam tq seller,5, ;P;;
aman semua,5, ;P;;
sukaaaa,5, ;P;;
untuk rasanya enak dan harga terjangkau tapi pengirimannya kurang bagus soalnya nyasar,4, ;N;;
pake sameday jadi cepat sellernya ramah produknya oke sesuai lengkap good seller,5, ;P;;
baso aci nya enak tapi sayang admin nya kurang responsif huhuu maaf ya,4, ;P;;
cuankie nya alot ga garing yah lumayan rasanya,4, ;P;;
ok,3, ;P;;
segel rusak karena packing tipis sekali,1, ;N;;
enak lah pokoknya,5, ;P;;
akhir ya yg ditunggu sampe juga thank you,5, ;P;;
barang diterima dgn baik dan cepat terimakasih,5, ;P;;
mantap barang sesuai pesanan,5, ;P;;
rasanya belum tau karena sampainya pagi dan masih puasa tapi proteksinya perlu diacungi jempol semoga original bukan kw,5, ;P;;
mantab gan,5, ;P;;
barang asli jdi beli dsini ajah gx usah jauhw kemalang thanks seller,5, ;P;;
seller ramah dan baik packaging rapi aman dipakai bubble wrap recommended seller,5, ;P;;
kripiknya dibungkus bubble satu persatu d dimskkan dus donk thanks seller,5, ;P;;
packing aman pake wrap seller fast response mantap betul,5, ;P;;
sekarang keripiknya tebal2 dan lebih keras jadi butuh tenaga ekstra untuk gigitnya beda sama yg dulu btw packingannya super rapi masing2 item dibungkus dengan bubble recommended seller,3, ;N;;
produk bagus fast respon terima kasih,5, ;P;;
belum dicoba sih tapi semoga enak nyesel cuma beli 100gr dikit bangett,3, ;P;;
enak kacangnya empuk lumayan oke juga dengan harga yang masih terjangkau,5, ;P;;
agak melempem ya,4, ;N;;
cepat sampai rasa enak memuaskan,5, ;P;;
enak packaging juga rapih terima kasih,5, ;P;;
rasa enak ga tengik,5, ;P;;
ada yg gosongnyaa,4, ;N;;
enak mede nyaaa,5, ;P;;
repeay order sekian kalinya kardusnya basah kena hujan untung kacangnya dibungkus dgn bubble wrap,5, ;P;;
mudah2an enk harus dipercepat pengirimanya,4, ;P;;
yang tiba varian original,4, ;N;;
maaf ya barangnya tidak diterima,3, ;N;;
mantapppp sesuai deskripsi,5, ;P;;
ternyata rasa jagung bakar sama nori kurang klop rasanya unik,3, ;N;;
rasa enak pengiriman cepat sayang pas mau digoreng patah2 ikannya pdhl sdh dari frezer,4, ;N;;
packing dengan bubble dus sangat rapi sehingga kondisi bandeng aman semoga tidak terlalu asin cukup pake free ongkir bisa lo seller responsif,5, ;P;;
rekomended pokoknya,5, ;P;;
mantap rekomended,5, ;P;;
mantap pelayanan dan produknya recommended banget,5, ;P;;
delivery on time bandeng nikmat sesuai deskripsi,5, ;P;;
pelayanannya ramah packingnya sip deliverynya prima produknya top untuk harga yg terjangkau recommended banget yang mau coba jangan ragu betul lho,5, ;P;;
packing bagus cepat sampai ini u kasih org sukses yaa,5, ;P;;
repeat orderke sekian kali enakk cocokk,5, ;P;;
ownernya ramah dan baik responya cepat packagingnya super duper rapih barangnya good quality bakal repeat order lagi sukses selalu mbak cantik,5, ;P;;
lumayan enak tp terlalu mahal tidak sebanding dg harga,3, ;N;;
ownernya ramah packaging ok bakal repeat order thankyou,5, ;P;;
ownernya ramah responya cepat packaging dan pengiriman ok thankyou amut utk servicenya bakal repeat order,5, ;P;;
seller ramah responsif sangat membantu jadi komunikasi nya enak packing rapi dan pengiriman cepat repeat order sih ini,5, ;P;;
paket sampai siang hr yg dikirim katanya suka terima kasih ya,5, ;P;;
fast respond penjual ramah delivery on time thanks,5, ;P;;
puas banget makasih,5, ;P;;
enak sekali pemjual sangat responsif dan ramah sangat membantu pengiriman cepat akan pesan lagi sih pasti,5, ;P;;
nasi jeruknya enak ayamnya juga pengiriman cepat,5, ;P;;
repeat order yang kesekian kalinya pelayanan dan respon toko selalu baik kualitas makanan dan rasanya selalu baik recommended,5, ;P;;
best paling enak dibanding produk sejenis ngga eneg,5, ;P;;
di deskripsi full baked aman utk bumil dan udh ksh notes juga utk dipastiin mateng krna lg hamil ternyata salmonnya msh mentah bismillah semoga gapapa lain kali tolong dipastiin aja kalo udh mateng,2, ;N;;
salmonnya dan saus mentainya melimpah ruah kesukaan kalo lg ke jakarta pasti pesan ini tapi ntah kenapa kali ini rasanya aga asin,5, ;N;;
sebelumnya pernah beliin dia salmon mentai pas beda tempat kerja waktu itu momomaru kalo ga salah hanya ada salmon sama chicken katsu mentai tahun lalu dia minta momomaru tapi baru bisa beliin momomaru sekarang saat dia udah 1 tempat kerja bareng gue baru bisa beliin walaupun ongkirnya lebihin harga 1porsi salmon mentai gue mau bayar utang gue walaupun sekarang dia lagi deket sama orang lain,5, ;N;;
lidah saya lidah ndeso,4, ;N;;
sdh terima blm dimkn,5, ;P;;
enak pesan tadi siang jam 1 sampai jakarta barat jam setengah 6 sore masih hangat tapi saya hangatkan lagi di microwave makin enak tidak asin suka,5, ;P;;
enak kimcinya pas rasanya tdk terlalu pedas,5, ;P;;
enak asam nya pas,5, ;P;;
enak pas rasa nya samwon resto memang terkenal tempat makan para expat korean di jkt seller responsif sangat membantu ttg produk,5, ;P;;
gmna ya ini kali kedua beli kamren beli yang 1kg baik2 aja ini beli yang stgh kg malah plastik vakum nya bocor sedih sih jadi air kimchinya ga ada padahal mau di bikin kimchi jiggae,4, ;N;;
enak bangattt,5, ;P;;
fresh kimchinya,5, ;P;;
pesanan sesuai enak pengiriman cepat,5, ;P;;
rasanya kayak ada pait paitnya,5, ; N;;
unt rasa krg pedes dikit dan asemnya dikrgi dkt itu menurut sy,5, ;N;;
barangnya puas,5, ;P;;
menyengkan belanja dsini profesional bgt,5, ;P;;
sipppp,5, ;P;;
reorder terus,5, ;P;;
top termurah,5, ;P;;
selalu langganan jadi kalo kangen lumpia asli semarang langsung order disini karena posisinya pun di jakarta kualitas sangat terjaga respon cepat dan tepat terima kasih banyak ya,5, ;P;;
sudah repeat order yg kesekian dan alhamdulillah selalu puas seller jg ramah dan komunikatif tks ya sukses trs,5, ;P;;
pembelian kesekian,5, ;P;;
sudah beberapa kali pesan rasa selalu enak dan sesuai harga,5, ;P;;
orderan ke 3kalinya dalam waktu yg dekat tapi kemasanya makin kecil pdhl dg jml pembelian yg sama kebetulan beseknya bisa diliat dg ukuraya yg mkin kcl semoga lumpia semarang tetep mempertahankan pelayanan dan kwlitas jgn lama2 makin kcl mksh,4, ;N;;
pernah order di gojek dan di tokped belum pernah kecewa sama produknya,5, ;P;;
repeat order lumpia nya enak cocok dan delivery cepat admin nya ramah,5, ;P;;
mengobati rasa kangen lumpia semarang josh gandhosss,5, ;P;;
tunggu buka puasa baru dicoba ya kiriman super cepet mantul bgt,5, ;P;;
agak masam y ngk kyk biasa ny,3, ;N;;
minil2 jd praktis dimakannya,5, ;P;;
barang oke packing rapih penjual responsif,5, ;P;;
kesekian kali order disini tetap mantap,5, ;P;;
enak tapi utk rasa perlu ditingkatkan,4, ;N;;
not bad ada pahit pahitnya,4, ;N;;
enakk euyy,5, ;P;;
mantap seperti biasanya lah,5, ;P;;
enak semua suka,5, ;P;;
packaging bagus rasa enak tp warna kartu ucapan terlalu gelap jadi tidak kelihatan kalau ditulis bahan kertas kartu ucapan jg sulit ditulis tp overall bagus kok,4, ;N;;
brownies nya enakkk bgt lembut chewy berasa dark chocolate jg jd ga cm manis doang paling suka yg kismis packing aman sentosa dan lucu bgt design nya ada beruang dan pantatnya wkwkwk terima kasih bearly baker so sorry bawel di chat wkwkwk,5, ;P;;
karena ini buat temen aku jadi ga punya fotonya alhamdulillah temen aku suka,5, ;P;;
super yummy,5, ;P;;
cepet banget dikirimnya kemarin maghrib baru pesen terus pagi ini udah sampai padahal pesennya lumayan banyak hehehe terima kasih bearlybaker,5, ;P;;
dari dulu sukaa best in town,5, ;P;;
respon seller cepat pengiriman juga cepat thanks,5, ;P;;
browniesnya enak respon seller cepat cuma kayaknya dikartunya lupa ditulis to from nya padahal sudah ditulis jg dicatatan hehe,5, ;P;;
pesan yg varian 20pcs tp cuma dikirim 10pcs,1, ;N;;
order bareng produk lainnya jadi 3 box di kemas dalam paper bag alhamdulillah aman saat diterima rasanya juara banget sea saltnya bikin sensasi yang akhir yang asik bgt,5, ;P;;
paling favorit,5, ;P;;
enak tp menurut saya terlalu manis masih lebih enak the diva,5, ;P;;
enaaak keponakan saya suka bgt saya sampe ga kebagian hehehe,5, ;P;;
sampai cepet uga,5, ;P;;
mantep dan bagus pelayanan cookies nya jg enaaakkk,5, ;P;;
ga ada obat,5, ;P;;
maap gak sempet foto udh dimakanin pas buka puasa,5, ;P;;
maaf baru kasih ulasan karena baru dicoba buat makan sahur ayamnya enak bumbunya meresap anak ku suka pengiriman cepat packing rapi thanks ya,5, ;P;;
suka makanannya dr toko ini enak rasa rumahan moga2 nambah terus menu2nya,5, ;P;;
selalu mantap,5, ;P;;
ini order kedua kalinya top markotop enak bumbunya meresap ke dagingnya ayamnya juga pas lunaknya recommended,5, ;P;;
enak terima kasih,5, ;P;;
sudah sering belanja di sini selalu puas masakannya enak semua packing juga sangat rapih pengiriman cepat sukses terus ya terima kasih utk bonusnya,5, ;P;;
suka masakan d toko ini masakannya enak cocok ama selera kita,5, ;P;;
selalu puas mohon dipertahankan ya,5, ;P;;
ayam gorengnya enak tapi bumbu serundeng laosnya krg byk,5, ;P;;
2nd purchase,5, ;P;;
pesanan cpt sampainya pengemasan rapi mudah2an rasanya enak,5, ;P;;
mantap ud belanja dsni 2 x,5, ;P;;
pengiriman cepaaat satu hari sampai pagi 2 sekali kualitas produk enaak masih baru,5, ;P;;
enak rasa nya pengemasan rapi,5, ;P;;
brg sesuai deskripsi thx gan,5, ;P;;
lebih enak lgi kl ada rasa pedasnya,4, ;P;;
kimchinya enak segar cocok buat pendamping makanan,5, ;P;;
puas belanja di sini pengiriman cepat,5, ;P;;
packaging rapih dan barangnya sesuai hanya saja pengirimannya lumayan lama padahal lokasi berdekatan next semoga bisa diperbaiki,5, ;P;;
seller responsif kimchi original benar2 kecutttt bangetttt,5, ;P;;
yang tipe asam kecut tidak manis keluarga ada yg diabet di rumah jadi cocok terima kasih,5, ;P;;
wenak tenan,5, ;P;;
pengirimannya cepat sekalii pesan siang dikirim besok pagi dan sampai tujuan sore,5, ;P;;
sayang kemasan kimchinya meletus karena tekanan gas nya saat pengiriman yg satu lg sdh siap meletus untung keburu sampai duluan jd basah semua packaging bagian dalamnya,4, ;N;;
