Review,Rating,Sentiment
enak kuacinya,5,Positive
pengiriman cepat packing bagus sesuai pesanan belum di coba terima kasih,5,Positive
pengemasan luar biasa baik untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga yang agak kerasa itu varian rasa rumput laut untuk yang lain nya menurut saya kurang mendominasi rasanya lebih ke original sih,4,Negative
terimakasih min,5,Positive
udah order untuk kesekian kali jos,5,Positive
enaak dan guriih kacangnya,5,Positive
respon cepat harga terjangkau,5,Positive
mantappppp recommended empingnya enakkkkk,5,Positive
mantapppp puas kali gurih bnget entr mau pesan lg kesukaan,5,Positive
kondisi baik kurir baik mdh2an enak terimakasih,5,Positive
rekomended,5,Positive
enak gurih dan renyah,5,Positive
pengiriman cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5,Positive
cepat n fresh,4,Positive
excellent,5,Positive
tumben rada asin sedikit dr biasanya hehe,4,Negative
lagi kepengen banget makan keripik yg pedes aaaa pengiriman juga cepet rasanya enak pol buat dijadiin snack makasihh,5,Positive
pesen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5,Positive
keripik nya sudah sampe semua komplit enak dan langganan sejati succes keripik riki,5,Positive
pedes mantap,5,Positive
sudah terjamin pedasnya dan gurihnya,5,Positive
pedesnya pas cuma gak berasa singkong nya saran aja kalau pembelian 5 bungkus ada bonus biar makin lariss,5,Negative
mantul selalu beli yang ini meski panas perut ge,5,Positive
enak pedes bgt asin dan gurihnya pas pengirimannya juga aman,5,Positive
baso acinya serius enak banget teksturnya baso kaca khad garut banget isian ayamnya juga enak,5,Positive
terima kasih barangnya sudah sampai,3,Positive
enak bgt benerannagih kuah nya pedes pokoknya manteppppp,5,Positive
cepat sampainya,5,Positive
mantapp kualitass rasa lumayan pengiriman cepatt terimakasii toko nyaaaa,4,Positive
barangnya sudah sampai barangnya sampai dalam keadaan baik,4,Positive
pilus cikur alot dan liat pengiriman lama,3,Negative
paketnya sudah sampe makasi udah dikasi 1pcs bonus baso aci nya,5,Positive
baso acinya enak cuma isi ayamnya gak kerasa kecil banget sih tapi untuk porsinya banyak banget,4,Negative
pengiriman sangat cepat baru pesan kemarin 22 04 hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5,Positive
pengiriman sangat cepat barang premium d,5,Positive
alhamdulillah barang sudah sampai mantaps kali rasanya pedas,5,Positive
klo belum habis ga bs berhenti makan ginian cuma ada yg terbuka kemasannya untung masi renyah,5,Positive
mantap bgt pedesnya gak pelit bumbunya puas bgt belanja disini,5,Positive
kangen rasa terbayarkan,5,Positive
kenceng,5,Negative
