Review,Rating,Sentiment,tokenization,Review_Normalized,df_token_stemm,Review_clean
enak kuacinya,5,Positive,"['enak', 'kuacinya']","['enak', 'kuacinya']","['enak', 'kuaci']",enak kuaci
pengiriman cepat packing bagus sesuai pesanan belum di coba terima kasih,5,Positive,"['pengiriman', 'cepat', 'packing', 'bagus', 'sesuai', 'pesanan', 'belum', 'di', 'coba', 'terima', 'kasih']","['pengiriman', 'cepat', 'pengemasan', 'bagus', 'sesuai', 'pesanan', 'belum', 'di', 'coba', 'terima', 'kasih']","['kirim', 'cepat', 'emas', 'bagus', 'sesuai', 'pesan', 'belum', 'di', 'coba', 'terima', 'kasih']",kirim cepat emas bagus sesuai pesan coba terima kasih
pengemasan luar biasa baik untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga yang agak kerasa itu varian rasa rumput laut untuk yang lain nya menurut saya kurang mendominasi rasanya lebih ke original sih,4,Negative,"['pengemasan', 'luar', 'biasa', 'baik', 'untuk', 'rasa', 'menurut', 'saya', 'lebih', 'dominan', 'ke', 'rasa', 'original', 'atw', 'rasa', 'asli', 'kuacinya', 'mau', 'varian', 'rasa', 'apapun', 'soalnya', 'rasanya', 'kurang', 'dominan', 'dan', 'kurang', 'sedikit', 'rasa', 'asin', 'juga', 'yang', 'agak', 'kerasa', 'itu', 'varian', 'rasa', 'rumput', 'laut', 'untuk', 'yang', 'lain', 'nya', 'menurut', 'saya', 'kurang', 'mendominasi', 'rasanya', 'lebih', 'ke', 'original', 'sih']","['pengemasan', 'luar', 'biasa', 'baik', 'untuk', 'rasa', 'menurut', 'saya', 'lebih', 'dominan', 'ke', 'rasa', 'asli', 'atau', 'rasa', 'asli', 'kuacinya', 'mau', 'varian', 'rasa', 'apapun', 'soalnya', 'rasanya', 'kurang', 'dominan', 'dan', 'kurang', 'sedikit', 'rasa', 'asin', 'juga', 'yang', 'agak', 'terasa', 'itu', 'varian', 'rasa', 'rumput', 'laut', 'untuk', 'yang', 'lain', 'nya', 'menurut', 'saya', 'kurang', 'mendominasi', 'rasanya', 'lebih', 'ke', 'asli', 'sih']","['emas', 'luar', 'biasa', 'baik', 'untuk', 'rasa', 'turut', 'saya', 'lebih', 'dominan', 'ke', 'rasa', 'asli', 'atau', 'rasa', 'asli', 'kuaci', 'mau', 'varian', 'rasa', 'apa', 'soal', 'rasa', 'kurang', 'dominan', 'dan', 'kurang', 'sedikit', 'rasa', 'asin', 'juga', 'yang', 'agak', 'asa', 'itu', 'varian', 'rasa', 'rumput', 'laut', 'untuk', 'yang', 'lain', 'nya', 'turut', 'saya', 'kurang', 'dominasi', 'rasa', 'lebih', 'ke', 'asli', 'sih']",emas dominan asli asli kuaci varian dominan asin asa varian rumput laut nya dominasi asli sih
terimakasih min,5,Positive,"['terimakasih', 'min']","['terima kasih', 'minimal']","['terima kasih', 'minimal']",terima kasih minimal
udah order untuk kesekian kali jos,5,Positive,"['udah', 'order', 'untuk', 'kesekian', 'kali', 'jos']","['sudah', 'beli', 'untuk', 'kesekian', 'kali', 'mantap']","['sudah', 'beli', 'untuk', 'sekian', 'kali', 'mantap']",beli sekian kali mantap
enaak dan guriih kacangnya,5,Positive,"['enaak', 'dan', 'guriih', 'kacangnya']","['enaak', 'dan', 'guriih', 'kacang']","['enaak', 'dan', 'guriih', 'kacang']",enaak guriih kacang
respon cepat harga terjangkau,5,Positive,"['respon', 'cepat', 'harga', 'terjangkau']","['respons', 'cepat', 'harga', 'terjangkau']","['respons', 'cepat', 'harga', 'jangkau']",respons cepat harga jangkau
mantappppp recommended empingnya enakkkkk,5,Positive,"['mantappppp', 'recommended', 'empingnya', 'enakkkkk']","['mantappppp', 'recommended', 'empingnya', 'enakkkkk']","['mantappppp', 'recommended', 'emping', 'enakkkkk']",mantappppp recommended emping enakkkkk
mantapppp puas kali gurih bnget entr mau pesan lg kesukaan,5,Positive,"['mantapppp', 'puas', 'kali', 'gurih', 'bnget', 'entr', 'mau', 'pesan', 'lg', 'kesukaan']","['mantapppp', 'puas', 'kali', 'gurih', 'banget', 'nanti', 'mau', 'pesan', 'lagi', 'kesukaan']","['mantapppp', 'puas', 'kali', 'gurih', 'banget', 'nanti', 'mau', 'pesan', 'lagi', 'suka']",mantapppp puas kali gurih banget pesan suka
kondisi baik kurir baik mdhan enak terimakasih,5,Positive,"['kondisi', 'baik', 'kurir', 'baik', 'mdhan', 'enak', 'terimakasih']","['kondisi', 'baik', 'kurir', 'baik', 'mdhan', 'enak', 'terima kasih']","['kondisi', 'baik', 'kurir', 'baik', 'mdhan', 'enak', 'terima kasih']",kondisi kurir mdhan enak terima kasih
rekomended,5,Positive,['rekomended'],['rekomendasi'],['rekomendasi'],rekomendasi
enak gurih dan renyah,5,Positive,"['enak', 'gurih', 'dan', 'renyah']","['enak', 'gurih', 'dan', 'renyah']","['enak', 'gurih', 'dan', 'renyah']",enak gurih renyah
